screen,feature_id,feature_name,component,group_id,group_label,zone_x,zone_y,zone_w,zone_h,month,users,events
home,header_empresa,Seleccionar empresa,Header,header,Header,6.7,4.5,72,3.8,Dic 2025,1366,17688
home,header_empresa,Seleccionar empresa,Header,header,Header,6.7,4.5,72,3.8,Ene 2026,1407,19249
home,header_empresa,Seleccionar empresa,Header,header,Header,6.7,4.5,72,3.8,Feb 2026,1369,18792
home,header_empresa,Seleccionar empresa,Header,header,Header,6.7,4.5,72,3.8,Mar 2026,1435,21603
home,header_empresa,Seleccionar empresa,Header,header,Header,6.7,4.5,72,3.8,Abr 2026,1399,21229
home,cuenta_principal,Cuenta principal,Cuentas,cuentas,Cuentas,6.7,8.3,75.6,9.6,Dic 2025,3578,16156
home,cuenta_principal,Cuenta principal,Cuentas,cuentas,Cuentas,6.7,8.3,75.6,9.6,Ene 2026,3527,16830
home,cuenta_principal,Cuenta principal,Cuentas,cuentas,Cuentas,6.7,8.3,75.6,9.6,Feb 2026,3568,16164
home,cuenta_principal,Cuenta principal,Cuentas,cuentas,Cuentas,6.7,8.3,75.6,9.6,Mar 2026,3703,18674
home,cuenta_principal,Cuenta principal,Cuentas,cuentas,Cuentas,6.7,8.3,75.6,9.6,Abr 2026,3805,18411
home,cuenta_secundaria,Cuenta secundaria,Cuentas,cuentas,Cuentas,,,,,Dic 2025,1014,3452
home,cuenta_secundaria,Cuenta secundaria,Cuentas,cuentas,Cuentas,,,,,Ene 2026,988,3410
home,cuenta_secundaria,Cuenta secundaria,Cuentas,cuentas,Cuentas,,,,,Feb 2026,969,3722
home,cuenta_secundaria,Cuenta secundaria,Cuentas,cuentas,Cuentas,,,,,Mar 2026,984,3958
home,cuenta_secundaria,Cuenta secundaria,Cuentas,cuentas,Cuentas,,,,,Abr 2026,1017,3981
home,aliascbu,Alias / CBU,Cuentas,cuentas,Cuentas,11.1,14.7,66.7,2.3,Dic 2025,1743,3137
home,aliascbu,Alias / CBU,Cuentas,cuentas,Cuentas,11.1,14.7,66.7,2.3,Ene 2026,1793,3348
home,aliascbu,Alias / CBU,Cuentas,cuentas,Cuentas,11.1,14.7,66.7,2.3,Feb 2026,1742,3123
home,aliascbu,Alias / CBU,Cuentas,cuentas,Cuentas,11.1,14.7,66.7,2.3,Mar 2026,1866,3564
home,aliascbu,Alias / CBU,Cuentas,cuentas,Cuentas,11.1,14.7,66.7,2.3,Abr 2026,1932,3439
